

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
348.986  000.051  000.051: require('hlslens.utils')
349.092  000.046  000.046: require('hlslens.config')
349.142  000.049  000.049: require('hlslens.decorator')
349.190  000.048  000.048: require('hlslens.lib.throttle')
349.247  000.056  000.056: require('hlslens.position')
349.292  000.044  000.044: require('hlslens.render.winhl')
349.342  000.048  000.048: require('hlslens.render.extmark')
349.439  000.049  000.049: require('hlslens.highlight')
349.440  000.098  000.049: require('hlslens.render.floatwin')
349.444  000.457  000.069: require('hlslens.render')
349.494  000.050  000.050: require('hlslens.cmdline.parser')
349.539  000.044  000.044: require('hlslens.cmdline.fold')
349.588  000.047  000.047: require('hlslens.lib.debounce')
349.590  000.714  000.065: require('hlslens.cmdline')
349.592  000.871  000.057: require('hlslens.main')
349.727  000.065  000.065: require('hlslens.wffi')
349.729  000.112  000.047: require('hlslens.position.range.regex')
350.668  000.006  000.006: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/tree-nvim-web-devicons/plugin/nvim-web-devicons.vim
350.768  000.029  000.029: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/barbar.nvim/plugin/barbar.lua
351.376  000.043  000.043: require('barbar.animate')
351.519  000.042  000.042: require('barbar.utils.table')
351.565  000.045  000.045: require('barbar.utils')
351.568  000.145  000.057: require('barbar.config')
351.611  000.043  000.043: require('barbar.utils.list')
351.753  000.045  000.045: require('barbar.fs')
351.760  000.098  000.054: require('barbar.buffer')
351.767  000.155  000.057: require('barbar.state')
351.769  000.392  000.049: require('barbar.bbye')
351.816  000.046  000.046: require('barbar.jump_mode')
351.952  000.044  000.044: require('barbar.utils.highlight')
351.954  000.088  000.044: require('barbar.icons')
351.956  000.139  000.051: require('barbar.ui.layout')
352.055  000.042  000.042: require('barbar.ui.nodes')
352.060  000.104  000.062: require('barbar.ui.render')
352.066  000.791  000.067: require('barbar.api')
352.247  000.099  000.099: require('barbar.highlight')
352.251  000.156  000.057: require('barbar.events')
352.252  001.438  000.491: require('barbar')
367.992  000.032  000.032: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-prisma/ftdetect/prisma.vim
